"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"384","Nikita Kucherov","T.B","R","82","304.43333333333","15","33","19","14","48","80.00","68","22.06","7.21","135","103","66","6","1","7","6","3","3","0","0","2","20","4","4","12","0","0","0","-"
"178","Steven Stamkos","T.B","C","82","297.13333333333","19","21","14","7","40","65.57","88","21.59","9.51","164","125","94","11","0","10","9","3","2","1","0","0","12","1","2","8","1","36","33","52.17"
"89","Keith Yandle","FLA","D","82","291.81666666667","7","32","23","9","39","75.00","55","12.73","3.92","125","82","26","1","1","7","6","3","3","0","0","1","11","5","2","2","7","0","0","-"
"538","Nathan MacKinnon","COL","C","82","334.08333333333","12","25","12","13","37","72.55","109","11.01","11.72","178","138","91","29","1","10","6","3","3","0","0","1","14","1","4","10","0","55","56","49.55"
"119","Phil Kessel","PIT","R","82","266.21666666667","12","24","11","13","36","81.82","54","22.22","7.63","100","67","52","22","0","10","4","2","2","0","0","0","21","1","0","5","1","0","0","-"
"217","Mike Hoffman","FLA","L","82","281.45","17","18","6","12","35","63.64","88","19.32","8.26","153","116","58","12","0","7","0","0","0","0","0","1","22","6","3","14","1","4","7","36.36"
"616","Brayden Point","T.B","C","79","265.25","20","15","2","13","35","58.33","51","39.22","7.66","80","62","71","29","1","4","4","2","2","0","0","3","3","2","1","6","0","60","54","52.63"
"103","Brad Marchand","BOS","L","79","249.45","10","24","13","11","34","65.38","44","22.73","5.5","87","60","40","13","1","4","12","6","6","0","0","3","11","1","1","9","0","12","7","63.16"
"387","Jonathan Huberdeau","FLA","L","82","279.25","11","23","9","14","34","70.83","55","20.00","7.11","88","73","51","21","0","7","6","3","3","0","0","2","17","3","1","8","1","0","0","-"
"56","Blake Wheeler","WPG","R","82","294.16666666667","2","31","23","8","33","73.33","42","4.76","3.65","74","58","34","5","0","4","4","2","2","0","0","1","9","1","0","9","2","6","3","66.67"
"192","John Carlson","WSH","D","80","326.45","3","30","20","10","33","71.74","35","8.57","3.75","96","58","28","1","0","4","6","3","3","0","0","0","7","13","3","2","8","0","0","-"
"598","David Pastrnak","BOS","R","66","221.76666666667","17","16","11","5","33","75.00","76","22.37","8.89","144","111","59","17","2","5","8","4","4","0","0","3","19","2","2","10","1","0","0","-"
"647","Connor McDavid","EDM","C","78","267.3","9","24","20","4","33","78.57","61","14.75","7.97","102","78","67","22","0","7","4","2","2","0","0","1","16","6","3","13","0","16","21","43.24"
"655","Mikko Rantanen","COL","R","74","301.76666666667","16","17","11","6","33","73.33","50","32.00","5.91","102","73","43","12","0","8","12","6","6","0","0","3","5","2","4","5","2","3","3","50.00"
"539","Aleksander Barkov","FLA","C","82","287.46666666667","13","18","9","9","31","56.36","38","34.21","6.76","59","51","44","28","0","6","2","1","1","0","0","0","13","6","2","10","1","162","131","55.29"
"159","Patrick Kane","CHI","R","81","300.71666666667","9","21","14","7","30","71.43","88","10.23","8.58","153","112","74","13","1","5","4","2","2","0","0","1","8","0","1","12","1","0","0","-"
"415","Torey Krug","BOS","D","64","236.56666666667","2","28","15","13","30","71.43","42","4.76","3.25","81","55","17","1","0","6","23","6","4","1","1","2","14","1","2","5","2","0","0","-"
"74","Sidney Crosby","PIT","C","79","254.08333333333","12","17","12","5","29","67.44","45","26.67","6.35","66","56","46","24","0","4","12","2","1","0","1","2","13","4","0","8","0","193","116","62.46"
"577","Leon Draisaitl","EDM","C","82","274.46666666667","16","13","7","6","29","65.91","69","23.19","10.24","117","88","83","38","1","8","6","3","3","0","0","2","19","3","2","10","0","122","130","48.41"
"37","Brent Burns","S.J","D","82","270.61666666667","7","21","11","10","28","71.79","61","11.48","5.11","142","92","35","3","1","9","2","1","1","0","0","0","8","5","2","2","5","0","0","-"
"53","Alex Ovechkin","WSH","L","81","358.76666666667","18","10","6","4","28","59.57","115","15.65","11.37","227","176","78","7","0","10","6","3","3","0","0","0","13","11","7","2","0","0","0","-"
"43","Patrice Bergeron","BOS","C","65","211.98333333333","9","18","7","11","27","61.36","51","17.65","7.68","100","80","74","29","0","3","6","3","3","0","0","3","2","6","4","1","0","163","98","62.45"
"313","Tyler Seguin","DAL","C","82","245.46666666667","9","18","10","8","27","75.00","85","10.59","8.5","136","104","68","12","1","7","2","1","1","0","0","0","8","2","2","5","2","49","40","55.06"
"352","Johnny Gaudreau","CGY","L","82","274.68333333333","6","21","10","11","27","64.29","39","15.38","5.68","81","57","35","12","0","4","4","2","2","0","0","2","26","1","1","8","0","1","0","100.00"
"386","Gabriel Landeskog","COL","L","73","298.78333333333","10","17","5","12","27","61.36","51","19.61","8.28","79","73","60","41","0","5","7","2","1","1","0","1","6","3","6","11","2","92","74","55.42"
"54","Evgeni Malkin","PIT","C","68","233.05","9","17","8","9","26","65.00","60","15.00","5.41","96","70","50","10","1","10","14","3","2","0","1","2","13","3","3","9","1","7","15","31.82"
"385","Ryan Nugent-Hopkins","EDM","C","82","265.81666666667","8","18","4","14","26","63.41","45","17.78","5.79","87","61","63","20","2","8","4","2","2","0","0","2","13","8","5","9","0","5","7","41.67"
"542","Elias Lindholm","CGY","C","81","259.83333333333","9","17","12","5","26","68.42","54","16.67","5.41","94","68","42","19","1","9","2","1","1","0","0","1","9","3","4","5","2","80","65","55.17"
"648","Jack Eichel","BUF","C","77","272.08333333333","8","18","8","10","26","72.22","68","11.76","5.7","124","97","40","5","1","9","8","3","3","0","0","1","10","2","3","12","0","103","80","56.28"
"121","Nicklas Backstrom","WSH","C","80","297.16666666667","7","18","9","9","25","56.82","34","20.59","4.83","49","46","34","16","0","6","2","1","1","0","0","2","13","5","1","8","0","78","80","49.37"
"226","Victor Hedman","T.B","D","70","231.96666666667","2","23","13","10","25","55.56","29","6.90","2.14","47","34","12","1","0","4","2","1","1","0","0","1","12","1","0","1","4","0","0","-"
"243","Tyson Barrie","COL","D","78","315.25","2","23","16","7","25","60.98","40","5.00","2.51","94","51","17","1","0","9","2","1","1","0","0","2","3","0","2","4","5","0","0","-"
